2020-03-11 14:48:23.3608 | Thread: 1 |   INFO | DataMigrationSystem.Program | Configuring and starting migrations...
2020-03-11 14:48:25.3698 | Thread: 1 |   INFO | DataMigrationSystem.MigrationSystem | Trying to launch ContractGoszakup
2020-03-11 14:48:28.1624 | Thread: 1 |   INFO | DataMigrationSystem.Services.ContractGoszakupMigrationService | Starting migration with '30' threads
2020-03-11 16:33:09.1577 | Thread: 1 |   INFO | DataMigrationSystem.Program | Configuring and starting migrations...
2020-03-11 16:33:11.1567 | Thread: 1 |   INFO | DataMigrationSystem.MigrationSystem | Trying to launch DirectorGoszakup
2020-03-11 16:33:11.4405 | Thread: 1 |   INFO | DataMigrationSystem.Services.DirectorGoszakupMigrationService | Starting migration with '30' threads
2020-03-11 16:33:11.4522 | Thread: 1 |   INFO | DataMigrationSystem.Services.DirectorGoszakupMigrationService | Started thread
2020-03-11 16:33:11.6094 | Thread: 1 |   INFO | DataMigrationSystem.Services.DirectorGoszakupMigrationService | Started thread
2020-03-11 16:33:11.6506 | Thread: 1 |   INFO | DataMigrationSystem.Services.DirectorGoszakupMigrationService | Started thread
2020-03-11 16:33:11.7003 | Thread: 1 |   INFO | DataMigrationSystem.Services.DirectorGoszakupMigrationService | Started thread
2020-03-11 16:33:11.7290 | Thread: 1 |   INFO | DataMigrationSystem.Services.DirectorGoszakupMigrationService | Started thread
2020-03-11 16:33:11.7756 | Thread: 1 |   INFO | DataMigrationSystem.Services.DirectorGoszakupMigrationService | Started thread
2020-03-11 16:33:11.8231 | Thread: 1 |   INFO | DataMigrationSystem.Services.DirectorGoszakupMigrationService | Started thread
2020-03-11 16:33:11.8695 | Thread: 1 |   INFO | DataMigrationSystem.Services.DirectorGoszakupMigrationService | Started thread
2020-03-11 16:33:11.9321 | Thread: 1 |   INFO | DataMigrationSystem.Services.DirectorGoszakupMigrationService | Started thread
2020-03-11 16:33:11.9642 | Thread: 1 |   INFO | DataMigrationSystem.Services.DirectorGoszakupMigrationService | Started thread
2020-03-11 16:33:12.0120 | Thread: 1 |   INFO | DataMigrationSystem.Services.DirectorGoszakupMigrationService | Started thread
2020-03-11 16:33:12.0414 | Thread: 1 |   INFO | DataMigrationSystem.Services.DirectorGoszakupMigrationService | Started thread
2020-03-11 16:33:12.0747 | Thread: 1 |   INFO | DataMigrationSystem.Services.DirectorGoszakupMigrationService | Started thread
2020-03-11 16:33:12.1208 | Thread: 1 |   INFO | DataMigrationSystem.Services.DirectorGoszakupMigrationService | Started thread
2020-03-11 16:33:12.1674 | Thread: 1 |   INFO | DataMigrationSystem.Services.DirectorGoszakupMigrationService | Started thread
2020-03-11 16:33:12.2002 | Thread: 1 |   INFO | DataMigrationSystem.Services.DirectorGoszakupMigrationService | Started thread
2020-03-11 16:33:12.2291 | Thread: 1 |   INFO | DataMigrationSystem.Services.DirectorGoszakupMigrationService | Started thread
2020-03-11 16:33:12.2754 | Thread: 1 |   INFO | DataMigrationSystem.Services.DirectorGoszakupMigrationService | Started thread
2020-03-11 16:33:12.3237 | Thread: 1 |   INFO | DataMigrationSystem.Services.DirectorGoszakupMigrationService | Started thread
2020-03-11 16:33:12.3694 | Thread: 1 |   INFO | DataMigrationSystem.Services.DirectorGoszakupMigrationService | Started thread
